valid,outliers,FP,FN
al_ami-3,al_sxip-inf-2,,al_scip-card-2
al_ami-4,al_scipxvtex1,,al_pn-5c
al_ami-2,al_scipxvtex2,,al_pn-3b
al_ami-5,ak_scip-vte-2,,ak_hf-1
al_ami-1,ak_scip-vte-1,,ak_hf-2
al_scip-inf-1,ak_ami-2,,ak_hf-3
al_scip-inf-3,ak_ami-1,,ak_hf-4
al_scip-inf-6,al_pnx6,,ak_pn-2
al_scip-inf-4,al_pnx2,,ak_pn-4
al_scip-inf-2,al_scix-vte-1,,ak_pn-6
al_hf-3,al_scix-vte-2,,ak_pn-7
al_hf-1,alxpn-7,,
al_hf-4,alxpn-6,,
al_hf-2,al_pn-5x,,
al_pn-4,ax_pn-2,,
al_pn-7,al_amix8a,,
al_pn-2,alxami-7a,,
al_pn-6,alxpn-3b,,
al_scip-card-2,al_amx-7a,,
al_pn-5c,al_scipxinfx2,,
al_pn-3b,al_hf-x,,
al_ami-8a,xl_scip-inf-2,,
al_ami-7a,al_hx-2,,
al_scip-vte-2,al_pn-xb,,
al_scip-vte-1,al_amx-1,,
al_cac-2,ax_ami-1,,
al_cac-1,al_axi-1,,
al_cac-3,ak_pn-3b,,
ak_scip-inf-6,ak_pn-5c,,
ak_scip-inf-3,ak_scip-card-2,,
ak_scip-inf-4,,,
ak_scip-inf-2,,,
ak_scip-inf-1,,,
ak_hf-1,,,
ak_hf-2,,,
ak_hf-3,,,
ak_hf-4,,,
ak_pn-2,,,
ak_pn-4,,,
ak_pn-6,,,
ak_pn-7,,,
xl_xmi-2,,,
xl_xmi-1,,,
xl_xmi-5,,,
